Country,Cancer site,Year,Cancer Rate
Austria,Malignant neoplasms,2002,275.5
Austria,Malignant neoplasms,2008,250.6
Austria,Malignant neoplasms,2012,254.1
United Kingdom,Malignant neoplasms,2002,273.6
United Kingdom,Malignant neoplasms,2008,269.4
United Kingdom,Malignant neoplasms,2012,272.9
Italy,Malignant neoplasms,2002,276.5
Italy,Malignant neoplasms,2008,274.3
Italy,Malignant neoplasms,2012,278.6
Spain,Malignant neoplasms,2002,243.4
Spain,Malignant neoplasms,2008,241.4
Spain,Malignant neoplasms,2012,249.0
Denmark,Malignant neoplasms,2002,281.4
Denmark,Malignant neoplasms,2008,321.1
Denmark,Malignant neoplasms,2012,338.1
Portugal,Malignant neoplasms,2002,237.9
Portugal,Malignant neoplasms,2008,223.2
Portugal,Malignant neoplasms,2012,246.2
Hungary,Malignant neoplasms,2002,318.8
Hungary,Malignant neoplasms,2008,286.6
Hungary,Malignant neoplasms,2012,285.4
Netherlands,Malignant neoplasms,2002,283.0
Netherlands,Malignant neoplasms,2008,289.9
Netherlands,Malignant neoplasms,2012,304.8
Sweden,Malignant neoplasms,2002,264.7
Sweden,Malignant neoplasms,2008,259.7
Sweden,Malignant neoplasms,2012,270.0
Czechia,Malignant neoplasms,2002,289.3
Czechia,Malignant neoplasms,2008,288.5
Czechia,Malignant neoplasms,2012,293.8
Australia,Malignant neoplasms,2002,312.0
Australia,Malignant neoplasms,2008,314.1
Australia,Malignant neoplasms,2012,323.0
Slovak Republic,Malignant neoplasms,2002,263.0
Slovak Republic,Malignant neoplasms,2008,260.6
Slovak Republic,Malignant neoplasms,2012,276.9
Luxembourg,Malignant neoplasms,2002,296.7
Luxembourg,Malignant neoplasms,2008,284.0
Luxembourg,Malignant neoplasms,2012,280.3
Switzerland,Malignant neoplasms,2002,284.6
Switzerland,Malignant neoplasms,2008,269.3
Switzerland,Malignant neoplasms,2012,287.0
Iceland,Malignant neoplasms,2002,286.5
Iceland,Malignant neoplasms,2008,290.4
Iceland,Malignant neoplasms,2012,284.3
Korea,Malignant neoplasms,2002,220.5
Korea,Malignant neoplasms,2008,262.4
Korea,Malignant neoplasms,2012,307.8
Ireland,Malignant neoplasms,2002,254.3
Ireland,Malignant neoplasms,2008,317.0
Ireland,Malignant neoplasms,2012,307.9
Greece,Malignant neoplasms,2002,203.0
Greece,Malignant neoplasms,2008,162.0
Greece,Malignant neoplasms,2012,163.0
Mexico,Malignant neoplasms,2002,147.3
Mexico,Malignant neoplasms,2008,128.4
Mexico,Malignant neoplasms,2012,131.5
United States,Malignant neoplasms,2002,357.7
United States,Malignant neoplasms,2008,300.2
United States,Malignant neoplasms,2012,318.0
Germany,Malignant neoplasms,2002,283.3
Germany,Malignant neoplasms,2008,282.1
Germany,Malignant neoplasms,2012,283.8
New Zealand,Malignant neoplasms,2002,331.0
New Zealand,Malignant neoplasms,2008,309.2
New Zealand,Malignant neoplasms,2012,295.0
Poland,Malignant neoplasms,2002,256.1
Poland,Malignant neoplasms,2008,225.1
Poland,Malignant neoplasms,2012,229.6
Belgium,Malignant neoplasms,2002,296.2
Belgium,Malignant neoplasms,2008,309.4
Belgium,Malignant neoplasms,2012,321.1
Türkiye,Malignant neoplasms,2002,114.3
Türkiye,Malignant neoplasms,2008,144.8
Türkiye,Malignant neoplasms,2012,205.1
France,Malignant neoplasms,2002,289.5
France,Malignant neoplasms,2008,300.4
France,Malignant neoplasms,2012,303.5
Japan,Malignant neoplasms,2002,214.5
Japan,Malignant neoplasms,2008,201.1
Japan,Malignant neoplasms,2012,217.1
Finland,Malignant neoplasms,2002,246.0
Finland,Malignant neoplasms,2008,250.1
Finland,Malignant neoplasms,2012,256.8
Norway,Malignant neoplasms,2002,286.0
Norway,Malignant neoplasms,2008,297.9
Norway,Malignant neoplasms,2012,318.3
Canada,Malignant neoplasms,2002,299.9
Canada,Malignant neoplasms,2008,296.6
Canada,Malignant neoplasms,2012,295.7
